doc_id,category,router_tag,field,title,content,source
1,사업자등록,등록,공통(세무·등록·지원),등록 의무,"온라인몰·블로그·카페·SNS 등에서 일회성이 아니라 계속적·반복적으로 물품 판매나 알선·중개를 한다면 사업자등록을 반드시 해야 합니다. 통신판매업 신고 여부와 관계없이 사업자등록은 별도로 필요합니다. 사업을 시작한 날로부터 20일 이내에 국세청 홈택스에서 온라인으로 신청하거나, 세무서 민원봉사실을 방문해 신청합니다.",국세청 SNS마켓 사업자 신종업종 세무안내
2,사업자등록,등록,공통(세무·등록·지원),업종코드 (통신판매업),"판매 방식에 따라 업종코드로 등록합니다. SNS마켓 코드는 2019년 9월 신설되었습니다. 525104는 SNS마켓(블로그·카페 등 SNS 채널로 판매·구매알선·중개), 525101은 전자상거래 소매업(온라인 통신망 상품 소매, 오픈마켓 판매자 포함), 525102는 기타 통신판매업(TV홈쇼핑·카탈로그·전화·우편 소매 등), 525103은 전자상거래 소매중개업(오픈마켓 사업자 등 중개업무)입니다.",국세청 SNS마켓 사업자 신종업종 세무안내
3,사업자등록,등록,공통(세무·등록·지원),등록 전 확인 사항,"첫째, 과세/면세 여부를 확인합니다. 교육·의료·미가공 식료품·도서 등 일부를 빼면 대부분 과세 대상입니다. 둘째, 규모에 따른 구분으로, 개인 과세사업자는 연 매출 1억 4백만원을 기준으로 일반과세자와 간이과세자로 나뉩니다.",국세청 SNS마켓 사업자 신종업종 세무안내
4,사업자등록,등록,공통(세무·등록·지원),미등록 시 불이익,사업자등록을 하지 않으면 가산세를 부담합니다. 개인은 공급가액의 1%(간이과세자는 매출액의 0.5%와 5만원 중 큰 금액)입니다. 또한 매입세액을 공제받을 수 없습니다. 등록이 없으면 세금계산서를 받을 수 없어 구입 시 부담한 부가가치세를 공제받지 못합니다.,국세청 SNS마켓 사업자 신종업종 세무안내
5,과세유형 — 일반과세자 vs 간이과세자,세금,공통(세무·등록·지원),과세유형 개요,"일반과세자와 간이과세자는 부가가치세 계산 방법과 세금계산서 발급 가능 여부가 다릅니다. 한 번 정한 유형이 계속 유지되는 것이 아니라, 사업 첫해의 부가가치세 신고 실적 등으로 과세유형을 매년 다시 판정합니다. 간이과세 기준금액 1억 4백만원은 2024년 이후 적용분이며 매년 변경될 수 있습니다.",국세청 SNS마켓 사업자 신종업종 세무안내
6,과세유형 — 일반과세자 vs 간이과세자,세금,공통(세무·등록·지원),일반과세자와 간이과세자 비교,"적용 기준은 일반과세자가 직전 연 매출 1억 4백만원 이상 또는 간이배제 업종이고, 간이과세자는 연 매출 1억 4백만원 미만이면서 간이배제 업종이 아닌 경우입니다. 매출세액은 일반과세자가 공급가액의 10%, 간이과세자가 공급대가에 업종별 부가가치율과 10%를 곱한 값입니다. 세금계산서는 일반과세자는 발급 가능하고, 간이과세자는 직전연도 공급대가가 4,800만원 이상이면 발급 가능합니다. 매입세액 공제는 일반과세자가 전액, 간이과세자는 공급대가의 0.5%입니다. 환급은 일반과세자만 가능하고 간이과세자는 불가합니다.",국세청 SNS마켓 사업자 신종업종 세무안내
7,부가가치세,세금,공통(세무·등록·지원),신고·납부 기한,"일반과세자는 6개월을 한 과세기간으로 보아 매년 1월과 7월에, 간이과세자는 1년을 과세기간으로 보아 매년 1월에 신고·납부합니다. 일반과세자 1기는 1월 1일부터 6월 30일까지 실적을 7월 1일부터 25일까지 신고합니다. 2기는 7월 1일부터 12월 31일까지 실적을 다음해 1월 1일부터 25일까지 신고합니다. 간이과세자는 1월 1일부터 12월 31일까지 실적을 다음해 1월 1일부터 25일까지 신고합니다. 예외로, 직전연도 공급대가가 4,800만원에서 1억 4백만원인 간이과세자가 예정부과기간(1월 1일부터 6월 30일)에 세금계산서를 발급한 경우에는 예정신고(7월 1일부터 25일)를 해야 합니다.",국세청 SNS마켓 사업자 신종업종 세무안내
8,부가가치세,세금,공통(세무·등록·지원),세액 계산,일반과세자의 납부세액은 매출세액(매출액의 10%)에서 매입세액을 뺀 값입니다. 간이과세자의 납부세액은 매출액에 업종별 부가가치율(SNS마켓 소매업 15%)과 10%를 곱한 값에서 공제세액(공급대가의 0.5%)을 뺀 값입니다. 간이과세자는 매입세액이 매출세액을 넘어도 환급이 없습니다.,국세청 SNS마켓 사업자 신종업종 세무안내
9,부가가치세,세금,공통(세무·등록·지원),간이과세자 납부 면제,"해당 과세기간(1월 1일부터 12월 31일)의 공급대가 합계액이 4,800만원 미만이면 부가가치세 납부의무가 면제됩니다. 신규사업자는 사업개시일부터 과세기간 종료일까지 금액을 12개월로 환산해 판단합니다.",국세청 SNS마켓 사업자 신종업종 세무안내
10,부가가치세,세금,공통(세무·등록·지원),신용카드 등 발행세액공제,개인사업자가 신용카드 매출전표나 현금영수증을 발급하면 발급금액의 1.3%를 납부세액에서 공제(연 1천만원 한도)받습니다. 다만 법인사업자와 직전년도 공급가액 합계 10억원 초과 개인사업자는 제외됩니다.,국세청 SNS마켓 사업자 신종업종 세무안내
